"Settlement.id","long","lat","Name","Metric...System","Demographics...Projected.household.count","Demand..household....Target.household.count","Demand...Projected.nodal.demand.per.year","System..grid....Transformer.cost","Demographics...Population.count","Demographics...Projected.population.count","order","piece","group","id","fake.node","root","branch","dist","MV.line.per.kwh","near.sighted.sequence","depth","Total.Downstream.Demand.kWh","Total.Downstream.Network.Extent.m","Selection.Criteria","far.sighted.sequence"
"645",129.007802,-3.203753,810306001602,"grid",74,74,75924,7000,314,314,1,"1","260.1","260",FALSE,387,"387",12.2566037383729,0.000161432534355051,19,0,75924,12.2566037383729,0.000161432534355051,19
"1257",128.417815999999,-3.602702,810309001101,"grid",73,73,74898,7000,275,275,1,"1","261.1","261",FALSE,281,"281",12.6135594978559,0.000168409830674462,21,0,74898,12.6135594978559,0.000168409830674462,20
"449",128.333447,-3.633435,810310000201,"grid",30,30,30780,3000,133,133,1,"1","224.1","224",FALSE,261,"261",5.33922220465241,0.000173464009247967,22,0,30780,5.33922220465241,0.000173464009247967,21
"268",127.933877,-3.393791,810602100309,"grid",33,33,33858,3000,197,197,1,"1","228.1","228",FALSE,35,"35",5.99973998909987,0.00017720302407407,23,0,33858,5.99973998909987,0.00017720302407407,22
"383",128.762072999999,-3.647899,810308100702,"grid",13,13,13338,3000,38,38,1,"1","214.1","214",FALSE,350,"350",2.43153384613557,0.000182301233028608,24,0,13338,2.43153384613557,0.000182301233028608,23
"442",129.940127999999,-3.344699,810703100701,"grid",158,158,162108,13000,536,536,1,"1","336.1","336",FALSE,448,"448",30.7927626075208,0.000189952146763397,25,0,162108,30.7927626075208,0.000189952146763397,24
"37",129.369655999999,-2.800157,810314001503,"grid",190,190,194940,15000,730,730,1,"1","355.1","355",FALSE,415,"415",37.1574962438833,0.000190609911992835,26,0,194940,37.1574962438833,0.000190609911992835,25
"1065",127.971526,-3.641468,810311000802,"grid",149,149,152874,11000,762,762,1,"1","332.1","332",FALSE,49,"49",29.4483574332181,0.000192631562157189,27,0,152874,29.4483574332181,0.000192631562157189,26
"845",129.902490355861,-4.52714069047896,810301000799,"grid",31,31,31806,3000,113,113,1,"1","229.1","229",FALSE,440,"440",6.14152367931092,0.000193093242762715,28,0,31806,6.14152367931092,0.000193093242762715,27
"1298",128.268593,-3.71019,817102100801,"grid",37,37,37962,3000,135,135,1,"1","238.1","238",FALSE,234,"234",7.58236524266872,0.000199735663101752,29,0,37962,7.58236524266872,0.000199735663101752,28
"597",129.959515,-3.355822,810703101001,"grid",51,51,52326,6000,305,305,1,"1","252.1","252",FALSE,452,"452",10.7260251034633,0.000204984617655913,30,0,52326,10.7260251034633,0.000204984617655913,29
"1200",128.988784,-3.173116,810305002701,"grid",78,78,80028,7000,305,305,1,"1","282.1","282",FALSE,380,"380",18.5794757728816,0.000232162190394382,31,0,80028,18.5794757728816,0.000232162190394382,30
"165",128.657592999999,-3.590387,810308001401,"grid",21,21,21546,3000,87,87,1,"1","225.1","225",FALSE,319,"319",5.34259718741969,0.000247962368301294,32,0,21546,5.34259718741969,0.000247962368301294,31
